,title,views,description,likes,date
67,NATUR'ÉVEIL (12),268.0,Le centre d'activités NATUR'ÉVEIL est un lieu d'accueil et d'apprentissage autour de la nature pour les enfants de 6 à 12 ans. C'est un moyen de sensibiliser...,98.0,03-25
68,BIODI (59),40.0,"BIODI accompagne les entreprises dans leur transition écologique avec des team building à impacts, des ateliers de construction, d'observation et de sensibil...",7.0,03-25
69,GATSBI (13),24.0,"GATSBI est une plateforme de vente de billets pour événements permettant aux promoteurs (BDE, artistes, etc.) de se connecter avec leur communauté et prestat...",0.0,03-25
70,DOGGY PARK (42),43.0,DOGGY PARK est un projet de parc de loisirs canin afin de créer un parc éco-responsable qui respecte du bien être animal.- Projet porté par Thomas FayantPour...,3.0,03-25
71,BOOBS (75),124.0,"Boobs améliore les équipements sportifs des femmes aux fortes poitrines pour qu’elles puissent faire du sport en bonnes conditions, tout en regagnant confian...",6.0,03-25
72,LES CENDRIERS DU LITTORAL (13),12.0,Les Cendres du Littoral propose un service d'implantation de cendriers urbains sur tout le littoral marseillais pour pallier à ce déchet trop présent. Des éq...,1.0,03-25
73,ILLICOGREEN (75),16.0,"ILLICOGREEN a pour ambition d'encourager les étudiants dans leur transition écologique malgré leur petit budget, leur manque de connaissance des alternatives...",0.0,03-25
74,CONNEC'TOOLS (58),203.0,Connec'Tools est là pour améliorer la productivité et l'organisation de son utilisateur et également pour lui faire économiser de l'argent. Ils proposent un ...,27.0,03-25
75,FLORIANE SCHMITT STUDIO (67),66.0,"FLORIANE SCHMITT propose un univers élégant et poétique, afin d'offrir à aux clients un style de vie harmonieux et paisible à travers Des collections de prod...",20.0,03-25
76,CRYSTALLUM (95),37.0,CRYSTALLUM est un projet de crédit de consommation aux utilisateurs qui lutte contre la pollution faite par le plastique. Les consommateurs sont rémunérés 10...,13.0,03-25
77,STUDENTS PLACE (59),16.0,STUDENTS PLACE est une entreprise qui vise à améliorer l'accueil des étudiants internationaux en France puis dans d'autres pays. Cette plateforme a été pensé...,0.0,03-25
78,Modu’LAB (51),185.0,"MODU’LAB propose des actions autour de l’éco responsabilité et de la culture. À ce titre, ils mettent en place des projets se modulant aux besoins de leurs p...",36.0,03-25
79,TOUROULE (33),31.0,"TOUROULE propose gratuitement une solution logicielle à télécharger (application mobile). Cette application communique avec des boîtiers de contrôle, à branc...",2.0,03-25
80,VISITCITY (93),18.0,"VISITCITY a pour mission de mettre en relation les voyageurs et les locaux pour favoriser les rencontres, les échanges et contribuer au développement économi...",2.0,03-25
81,ARC (35),106.0,"Dans une époque à forte mondialisation et de mobilité internationale, ARC souhaite rassembler des personnes de cultures différentes grâce à des  apprentissag...",18.0,03-25
82,DISCOREV (38),185.0,Discorev est une plateforme d’excursions authentiques annimées par des personnes passionnées et expérimentées.- Projet porté par Badiss BelhadjPour suivre le...,47.0,03-25
83,OODY (75),38.0,La raison d'être de OODY est de pouvoir protéger la planète tout en préservant le pouvoir d'achat des consommateurs. Leur mission est de réduire l'impact env...,17.0,03-25
84,MEKI MENSTRUATION (75),1757.0,"MEKI, c’est la marque de lingerie menstruelle thérapeutique 100 % confort, 100 % éco-responsable et 100 % made in France ! Leur but premier est de faciliter ...",888.0,03-25
85,COCON (42),995.0,"COCON est un commerce multi espaces autour de la pâtisserie sans gluten et du partage. A travers leurs différents espaces, ils ont à cœur de mettre en avant ...",206.0,03-25
86,MEZ (94),23.0,"MEZ est la volonté de diversifier l’offre des spiritueux infusés / arrangés par d’autres alcools que le rhum, qui sont tout aussi légitimes de l’être par leu...",0.0,03-25
87,EDITIONS CORAMBÉ (57),121.0,"Les Editions Corambé propose des ebooks et des livres papier en impression à la demande, dans le genre de l’imaginaire pour normaliser des héros et héroïnes ...",19.0,03-25
88,FAMS (60),13.0,FAMS est une application de connexion entre des mentors étudiants et jeunes actifs à destination des lycéens.- Projet porté par Cécilia ThomasPour suivre le ...,1.0,03-25
89,BEACH CITY PARADISE (92),29.0,"BEACH CITY PARADISE souhaite diversifier les offres de sports praticables en région parisienne et de créer un centre sportif dédié aux sports de sable,- Proj...",0.0,03-25
90,NAMI (17),333.0,NAMI est un écosystème collaboratif qui contribue à la réduction des émissions de carbone et la valorisation des co-produits de l’industrie française par l’u...,52.0,03-25
91,COLLECTIF MONO (75),25.0,"Le Collectif Mono propose de la création et production d'une gamme de vêtements et accessoires en laine mono matière, 100% recyclables.- Projet porté par Eln...",1.0,03-25
92,LES FRIMEUSES (92),250.0,"Les Frimeuses proposent une gamme de tartinables à base de légumineuses lactofermentées, pour des apéritifs sains et gourmands !- Projet porté par Emma Anque...",126.0,03-25
93,UN GRAM (69),326.0,"UN GRAM propose des smartphones de luxe 100% personnalisables.Le client choisit un matériau noble de son choix (or, diamant, argent, pierres précieuses ou cu...",48.0,03-25
94,SAFE PLACE TO BE (75),55.0,SAFE PLACE TO BE est une application qui a pour but principal de réduire le sentiment d'insécurité dans les transports et de développer l'entraide entreles u...,23.0,03-25
95,REUTEC (59),13.0,"REUTEC propose aux entreprises une solution d’emballage réutilisable sur mesure fais à partir de déchets textiles revalorisés, recyclés ou upcyclés.Ils les a...",1.0,03-25
96,CHERCHEUSE DE STYLE (13),145.0,"CHERCHEUSE DE STYLE est un concept de friperie uniquement pour femme afin changer le regard des gens sur le gaspillage vestimentaire, la pollution, les fripe...",27.0,03-25
97,INTINYVERITAS (75),220.0,InTinyVeritas accompagne les particuliers vers l’indépendance financière en developpant une offre de logements minimalistes autonomes et redynamiser des terr...,40.0,03-25
98,PIHITI (31),6.0,"PIHITI propose des soins naturels polynésiens : simples, minimalistes, sans parfum, respectueux de votre peau et de notre planète. Des soins seuls ou en box ...",0.0,03-25
99,MWANALA (35),99.0,Mwanala c'est la création de collection d'ouvrage de livre de jeunesse qui donne accès à l'éducation pour tous les enfants dans les pays en voie de développe...,27.0,03-25
100,URGE (92),89.0,URGE propose aux hôpitaux de réduire le temps consacré à l'enregistrement et le pré-diagnostic grâce à un algorithme de triage. Réduire le temps d'attente de...,4.0,03-25
101,VANLIZE (94),10.0,VANLIZE fait vivre des experiences singulières et de nouveaux challenges dans un monde où l'on ressent de plus plus un besoin de liberté.Retrouver une manièr...,0.0,03-25
102,LE SON QUI COURT (13),55.0,"La mission du SON QUI COURT est de stimuler et diversifier le paysage musicale Français en démocratisant l'accès aux savoirs, à la culture en propsant un ser...",18.0,03-25
103,JUNO (75),15.0,"JUNO est une plateforme de recrutement abordable, simple et rapide qui met en relation des consultants tech avec des entreprises en recherche. Grace à un alg...",1.0,03-25
104,ART&EAT (77),35.0,"ART&EAT est une plateforme qui allie alimentation et santé : réalisation des achats de produits d'épicerie, la réalisation de menu (en fonction de son régime...",0.0,03-25
105,OWNEY (75),51.0,"OWNEY propose une solution de Location-Accession.Ils achètent le bien pour vous et vous vivez dans votre logement immédiatement, avec une option d'achat de 4...",22.0,03-25
106,DROZZEN (75),71.0,"DROZZEN est une aplli de ""no-dating"" qui permet aux jeunes de se rencontrer facilement en favorisant l'économie locale et en répondant à un enjeu social plus...",22.0,03-25
107,PLENUMI (22),137.0,"PLENUMI est une plateforme de révision et assistant digital du professeur, Plenumi doit permettre aux élèves de mieux travailler (apprentissage actif et pers...",33.0,03-25
108,NEOCA (35),492.0,"NEOCA propose un casque sécurisé pour les mobilités douces qui a la particularité d'être pliable et peut donc facilement se ranger dans un sac. De plus, son ...",136.0,03-25
109,ROSA FOOD (59),243.0,"Le restaurant LA ROSA FOOD offre une restauration mixte respectueux  , entre la tradition et le moderne par l’innovation des goûts et des saveurs, respectueu...",91.0,03-25
110,SUMMIT (35),480.0,"SUMMIT est une boisson énergisante saine et totalement différente de ce que l'on connait actuellement sur le marché. Une boisson 100% naturelle, sans produit...",65.0,03-25
111,CUTIGIRI (59),19.0,CUTIGIRI est un jeu vidéo de type roman vidéoludique (jeux vidéo qui mélangent le gameplay et la littérature) qui a pour but de divertir et d'éduquer sur les...,1.0,03-25
112,TRUST IN ISOTOPES (66),170.0,"TRUST IN ISOTOPES propose un service de traçabilité, reposant sur une analyse chimique (l'isotopie). Elle permet de vérifier la provenance géographique des a...",58.0,03-25
113,RODBY (69),16.0,RODBY propose une mise en relation entre voyageurs et locaux est proposée sur la plateforme. Les locaux s’inscrivent et proposent des parcours et visites faç...,0.0,03-25
114,ORIGINAL GALSEN (94),52.0,ORIGINAL GALSEN propose de découvrir et de savourer la culture sénégalaise à travers des plats originaux. Avec un objectif de proposer des plats 100% fait ma...,21.0,03-25
115,FAIRTROTTER (94),395.0,"FairTrotter se veut devenir la première agence de voyage (presque) zéro carbone destinée au grand public, proposant des séjours uniques et personnalisables, ...",156.0,03-25
116,LE BON PARRAIN (59),10.0,Le Bon Parrain est un site de parrainage qui permet aux utilisateurs de se faire parrainer rapidement et facilement ! Cette mise en relation permet au filleu...,1.0,03-25
117,OTÉ (75),8.0,"OTÉ souhaite faire découvrir une cuisine réunionnaise savoureuse et originale, tout en proposant une expérience culinaire chaleureuse et intense pour les ave...",0.0,03-25
118,OHMYVAN (13),11.0,OHMYVAN souhaite faciliter le voyage en itinérance en véhicule aménagé en créant la maison sur roue des aventuriers.- Projet porté par Elsa ZapataPour suivre...,1.0,03-25
119,MOBILEAZ (59),234.0,MOBILEAZ est une plateforme de location de mobilier et d'électroménager entre particuliers qui favorise l’économie circulaire et d’usage. Elle répond aux pro...,75.0,03-25
120,COUP DE POUSSE (69),37.0,COUP DE POUSSE est un projet de titre-restaurant qui permet le financement de projet de résilience agricole.- Projet porté par Sophia AkmtPour suivre le Moov...,2.0,03-25
121,PULSAE (90),19.0,"PULSAE propose un dispositif de déclenchement intelligent de batterie de vélo électrique pour les personnes en insuffisance cardiaque. Ce dispositif va, en f...",2.0,03-25
122,4BONI (75),143.0,4boni est un marketplace réservé aux étudiants adin de les aider à lutter contre la précarité et l'isolement en créant un écosystème dédié.Projet porté par A...,11.0,03-25
123,STORMZ (69),426.0,"STORMZ est une marque pour équiper les danseurs urbains (hiphop, breakdance) avec des produits résistants, sécurisants et tendances.- Projet porté par Clélia...",156.0,03-25
124,IZOM ATHLETIQUE (94),463.0,"IZOM Athlétique proposera un baume chauffant solide et rechargeable pour aider les sportifs à bien s'échauffer. Par la suite, ils développeront une gamme com...",186.0,03-25
125,L'ATELIER DU GATO (45),396.0,L'Atelier du GatO vise à rendre accessible la pâtisserie aux personnes intolérantes et allergiques au gluten. Briser les idées reçues sur la pâtisserie sans ...,116.0,03-25
126,VIRTUOUS (74),129.0,"Virtuous connecte marques, associations, internautes et créateurs de contenu pour s'engager ensemble à construire le monde. Créer un système vertueux pour fa...",30.0,03-25
127,PHYSIS (2B),10.0,"PHYSIS améliore la sécurité des populations. En effet, que ce soit ses activités de conseil, de bureaux d'études ou encore de la gestion d'application, tout ...",2.0,03-25
128,TINY FUNGI (30),93.0,Tiny Fungi propose une alternative écologique et durable à la construction traditionnelle et fournit une solution de remplacement aux isolants synthétiques n...,27.0,03-25
129,CAVALONS (69),32.0,"La raison de CAVALONS est de faciliter la mise en relation entre propriétaires et cavaliers de manière rapide, simple et sécurisée. Notre mission est de démo...",1.0,03-25
130,STUDIO TALISMAN PARIS  (93),7.0,Studio Talisman Paris réinvente des vêtements et accessoires de seconde-main en les brodant. Elle a pour mission de redonner du sens au vêtement et à sa fabr...,0.0,03-25
131,DALISSIER (75),414.0,"DALISSIER offre une gamme de pâtisserie fine moderne avec des produits français, des viennoiseries insolites à partager, une chocolaterie gourmande à base de...",115.0,03-25
132,SEQUENCY (69),16.0,"SEQUENCY est une solution éducative ludique et interactive qui permet aux enfants d'apprendre les bases de la logique informatique sans écran, grâce à des bl...",0.0,03-25
133,SECONDE CHANCE (75),10.0,SECONDE CHANCE est une association qui permettra aux enfants malades de partager un moment d'évasion et de leur faire ressentir qu'ils sont acceptés tels qu'...,1.0,03-25
134,REFRESH YAH (06),12.0,"La mission de Refresh Yah est d'amener les consommateurs à consommer mieux et davantage de fruits et légumes, grâce à un en-cas protéiné et gourmand.- Projet...",0.0,03-25
135,LA BOX DES VINTIES (38),17.0,LA BOX DES VINTIES promeut l'économie circulaire dans les dressings en proposant un service de box de vêtements de seconde main qui permet de régler tous les...,1.0,03-25
136,DILO (75),25.0,"DILO propose un service de réservation de prestations de services à domicile pour seniors souhaitées, entièrement en ligne. À cette plateforme se rajoute un ...",2.0,03-25
137,UNICY (44),1101.0,"UNICY accélère le passage à la mobilité verte en développant une nouvelle transmission de vélo par cardan, robuste et fabriquée localement. Elle est en cours...",431.0,03-25
138,FEEDS HUB (75),14.0,FEEDS HUB propose un outil de visibilité digitale qui recense les commerces écoresponsables qui organisent des événements variés et vendent également un logi...,3.0,03-25
139,KAWABSOR'BRA (91),268.0,- Projet porté par Hawa BaradjiPour suivre le Moovjee : Site : https://www.moovjee.frFacebook : https://www.facebook.com/moovjeeTwitter : https://twitter.com...,108.0,03-25
140,ALLITRADOR (35),43.0,"Allitrador est une entreprise de traduction au service des TPE, PME et associations qui souhaitent croquer à pleines dents dans leur ouverture vers l'interna...",0.0,03-25
141,HUMAYA (75),20.0,HUMAYA développe des chaussures colorées en cuir upcyclé haut de gamme pour femmes conçue de façon écoresponsable.- Projet porté par Pauline RobertPour suivr...,3.0,03-25
142,GULLU (31),715.0,"GULLUest un réseau social innovant, facilitateur de revoyure et vecteur pour le tourisme durable. La mission est de rassembler une communauté régie par les m...",271.0,03-25
143,MAISON WELLYGTON (94),12.0,"La MAISON WELLYNGTON est spécialisée dans la création de tenue de cérémonie sur-mesure, vente de figurine de mode, bijoux et autre accessoires.- Projet porté...",0.0,03-25
144,ITRIDES (44),71.0,ItRides propose des solutions de carnets d'entretiens dématérialisés accessible via un sticker contenant une puce.- Projet porté par Loukas PautonnierPour su...,13.0,03-25
145,ROOOM APP (75),19.0,ROOOM est une application qui aide les participants d’un même événement festif à créer plus facilement des relations entre eux.- Projet porté par Alexandre d...,3.0,03-25
146,MA PETITE MAIL D'ÉVEIL (37),353.0,"Ma Petite Maille d'Éveil propose des bouteilles sensorielles made in France, écologique et respectueuses de l'environnement.- Projet porté par Laurie Verhels...",78.0,03-25
147,VITA LIVE PRO (94),369.0,VITA LIVE PRO est une plateforme web et mobile qui met en relation des résidents en EHPAD et des passionnés à proximité pour faire des activités divers et va...,104.0,03-25
148,MON OUTFIT (33),136.0,"Mon Outfit se veut actrice sociale à travers l'habillement pour un public négligé par les préjugés de la société, en les aidant dans leurs insertion personne...",41.0,03-25
149,SENSOBOX (78),14.0,SENSOBOX éveille les sens au travers d'un choix d'activités sensorielles insolites à vivre en solo ou à deux à Paris et Bordeaux aux côtés d'experts passionn...,0.0,03-25
150,JANE (44),21.0,JANE est une plateforme permettant de diminuer la facture énergétique des collectivités en distribuant leur surplus de production à leur bâtiments communaux ...,1.0,03-25
151,PASSIFLORA APP (44),518.0,PASSIFLORA APP est une application qui informe et soutient les personnes atteintes de phobie scolaire ainsi que leur entourage vers le chemin de la guérison....,134.0,03-25
152,COBALT CONTRACEPTION (78),429.0,"COBALT CONTRACEPTION souhaite mettre sur le marché une contraception masculine naturelle, réversible et non-invasive grâce à un boxer de contraception mascul...",108.0,03-25
153,MAISON DÉMESURE (24),182.0,MAISON DÉMESURE est un bureau d'étude qui va accompagner des créateurs/créatrices pour développer leur collection de lingerie. Ils proposent un accompagnemen...,30.0,03-25
154,QUELYS (31),15.0,QUELYS a pour vocation d'accompagner l'humain & l'entreprise vers la mise en place d'un fonctionnement managérial innovant en complément de l'apport de conse...,2.0,03-25
155,TRACKPOINT (75),256.0,"TRACKPOINT a pour mission de faire de la glisse qu’une partie de plaisir. Aide à la planification et à l’organisation, TrackPoint s’engage à libérer la charg...",70.0,03-25
156,OSAM (69),521.0,"OSAM est une ligne textile vélo urbain permettant aux cyclistes de se déplacer en étant au sec, au chaud, visible et élégants. En d'autres termes : ne plus f...",175.0,03-25
157,MEETIT (13),21.0,MEETIT est une application qui permet de réduire le gaspillage alimentaire et améliore son pouvoir d’achat en proposant de récupérer à manger des surplus de ...,5.0,03-25
